"i","t"
1275,"28859.2760"
1276,"28875.8610"
1277,"29091.5750"
1278,"29108.1820"
1279,"29124.7800"
1280,"29141.5680"
1281,"29158.4050"
1282,"29174.5840"
1283,"29191.2480"
1284,"29207.9200"
1285,"29224.5620"
1286,"29241.3460"
1287,"29257.6060"
1288,"29274.1040"
1289,"29290.8840"
1290,"29307.3500"
1291,"29323.9410"
1292,"29340.7680"
1293,"29357.1920"
1294,"29374.3700"
1295,"29390.4750"
1296,"29407.3570"
1297,"29423.6310"
1298,"29440.1750"
1299,"29457.4510"
1300,"29473.2630"
1301,"29489.8210"
1302,"29506.4420"
1303,"29523.1550"
1304,"29540.3090"
1305,"29556.2590"
1306,"29572.8340"
1307,"29589.5050"
1308,"29606.8010"
1309,"29622.7640"
1310,"29639.3170"
1311,"29655.8060"
1312,"29672.6640"
1313,"29689.1200"
1314,"29706.1470"
1315,"29722.3870"
1316,"29739.4630"
1317,"29755.3610"
1318,"29771.9960"
1319,"29788.6680"
1320,"29805.2140"
1321,"29821.6700"
1322,"29838.3580"
1323,"29855.0740"
1324,"29871.6850"
1325,"29888.2320"
1326,"29904.8010"
1327,"29921.4380"
1328,"29938.0130"
1329,"29954.6180"
1330,"29971.3820"
1331,"29987.7570"
1332,"30004.3810"
1333,"30021.0320"
1334,"30037.5450"
1335,"30054.2430"
1336,"30070.8110"
1337,"30087.4180"
1338,"30103.9020"
1339,"30120.6050"
1340,"30137.6470"
1341,"30154.1380"
1342,"30170.3780"
1343,"30187.2460"
1344,"30203.8840"
1345,"30220.5120"
1346,"30236.8080"
1347,"30253.2710"
1348,"30269.8730"
1349,"30286.4950"
1350,"30303.3030"
1351,"30319.7380"
1352,"30336.7590"
1353,"30485.5690"
1354,"30502.2360"
1355,"30519.3400"
1356,"30535.4340"
1357,"30552.4000"
1358,"30568.9970"
1359,"30585.4360"
1360,"30601.7610"
1361,"30618.3400"
